sample_id,lab_id,sample_type,project_area,anomaly_id,easting,northing,rl,from_m,to_m,interval_m,au_ppm,as_ppm,sb_ppm,bi_ppm,cu_ppm,zn_ppm,pb_ppm,ag_ppm,below_detection
RC.BH20.070,1023.0,rc,Shamkya,An1,498835.585,2144410.407,265.652,69.0,70.0,1.0,0.005,5.5,0.08,0.04,53.8,59.0,0.4,0.06,True
RC.BH20.071,1024.0,rc,Shamkya,An1,498835.585,2144410.407,264.652,70.0,71.0,1.0,0.005,3.6,0.15,0.17,121.5,259.0,2.2,0.22,True
RC.BH20.072,1025.0,rc,Shamkya,An1,498835.585,2144410.407,263.652,71.0,72.0,1.0,0.005,4.4,0.14,0.14,97.9,112.0,1.3,0.15,True
,1026.0,rc,Shamkya,An1,498835.585,2144410.407,280.652,54.0,55.0,1.0,0.01,9.1,0.28,1.22,24.2,101.0,12.1,0.25,False
RC.BH20.073,1027.0,rc,Shamkya,An1,498835.585,2144410.407,262.652,72.0,73.0,1.0,0.005,7.9,0.09,0.1,55.7,64.0,1.2,0.12,True
RC.BH20.074,1028.0,rc,Shamkya,An1,498835.585,2144410.407,261.652,73.0,74.0,1.0,0.005,3.7,0.1,0.06,51.6,72.0,1.5,0.11,True
RC.BH20.075,1029.0,rc,Shamkya,An1,498835.585,2144410.407,260.652,74.0,75.0,1.0,0.005,3.1,0.09,0.11,39.8,98.0,2.4,0.08,True
RC.BH20.076,1030.0,rc,Shamkya,An1,498835.585,2144410.407,259.652,75.0,76.0,1.0,0.005,3.3,0.13,1.35,61.0,153.0,6.7,0.15,True
RC.BH20.077,1031.0,rc,Shamkya,An1,498835.585,2144410.407,258.652,76.0,77.0,1.0,0.005,6.2,0.19,0.39,106.0,106.0,9.8,0.21,True
RC.BH20.078,1032.0,rc,Shamkya,An1,498835.585,2144410.407,257.652,77.0,78.0,1.0,0.005,3.9,0.11,0.23,20.2,141.0,5.1,0.07,True
RC.BH20.079,1033.0,rc,Shamkya,An1,498835.585,2144410.407,256.652,78.0,79.0,1.0,0.005,6.0,0.26,0.14,10.6,114.0,5.7,0.1,True
RC.BH20.080,1034.0,rc,Shamkya,An1,498835.585,2144410.407,255.652,79.0,80.0,1.0,0.005,5.3,0.22,0.15,33.1,81.0,5.7,0.12,True
RC.BH20.081,1035.0,rc,Shamkya,An1,498835.585,2144410.407,254.652,80.0,81.0,1.0,0.005,3.2,0.2,0.07,6.7,87.0,4.7,0.04,True
RC.BH20.082,1036.0,rc,Shamkya,An1,498835.585,2144410.407,253.652,81.0,82.0,1.0,0.005,0.5,0.06,0.07,4.4,78.0,4.4,0.02,True
RC.BH20.083,1037.0,rc,Shamkya,An1,498835.585,2144410.407,252.652,82.0,83.0,1.0,0.005,0.8,0.07,0.06,5.8,98.0,4.1,0.03,True
RC.BH20.084,1038.0,rc,Shamkya,An1,498835.585,2144410.407,251.652,83.0,84.0,1.0,0.005,0.7,0.07,0.1,5.1,116.0,4.3,0.03,True
RC.BH20.085,1039.0,rc,Shamkya,An1,498835.585,2144410.407,250.652,84.0,85.0,1.0,0.005,0.7,0.07,0.09,7.6,78.0,5.0,0.03,True
RC.BH20.086,1040.0,rc,Shamkya,An1,498835.585,2144410.407,249.652,85.0,86.0,1.0,0.01,2.2,0.12,0.1,12.7,45.0,9.6,0.05,False
RC.BH20.087,1041.0,rc,Shamkya,An1,498835.585,2144410.407,248.652,86.0,87.0,1.0,0.005,1.7,0.13,0.07,7.1,59.0,11.6,0.04,True
RC.BH20.088,1042.0,rc,Shamkya,An1,498835.585,2144410.407,247.652,87.0,88.0,1.0,0.005,1.9,0.18,0.1,12.2,41.0,8.4,0.04,True
RC.BH20.089,1043.0,rc,Shamkya,An1,498835.585,2144410.407,246.652,88.0,89.0,1.0,0.005,0.9,0.11,0.1,6.2,68.0,4.5,0.03,True
RC.BH20.090,1044.0,rc,Shamkya,An1,498835.585,2144410.407,245.652,89.0,90.0,1.0,0.005,1.4,0.09,0.07,10.0,67.0,5.2,0.03,True
RC.BH20.091,1045.0,rc,Shamkya,An1,498835.585,2144410.407,244.652,90.0,91.0,1.0,0.005,2.4,0.17,0.05,9.5,80.0,4.3,0.06,True
RC.BH20.092,1046.0,rc,Shamkya,An1,498835.585,2144410.407,243.652,91.0,92.0,1.0,0.005,1.1,0.08,0.07,9.8,74.0,3.8,0.03,True
RC.BH21.008,1047.0,rc,Shamkya,An1,498848.164,2144441.389,325.248,9.0,10.0,1.0,0.005,1.1,0.06,0.24,56.9,108.0,10.4,0.04,True
