sample_id,lab_id,sample_type,project_area,anomaly_id,easting,northing,au_ppm,as_ppm,sb_ppm,bi_ppm,cu_ppm,zn_ppm,pb_ppm,ag_ppm,below_detection
T2-TR17-003,AN6/530,trench,Shamkya,An6,,,5.0,0.02,13.2,14.9,5.93,3.0,35.0,2.87,True
T2-TR17-004,AN6/531,trench,Shamkya,An6,,,5.0,0.01,12.3,12.1,4.37,2.6,12.1,2.78,True
Duplicate of(T2-TR17-002),AN6/532,trench,Shamkya,An6,,,5.0,0.01,12.2,15.6,4.26,2.4,9.1,2.52,True
Blank,AN6/533,trench,Shamkya,An6,,,5.0,0.01,0.1,0.19,0.44,0.25,8.1,0.24,True
T2-TR17-005,AN6/534,trench,Shamkya,An6,,,5.0,0.01,14.2,10.45,4.94,2.8,20.1,3.31,True
T2-TR17-008,AN6/535,trench,Shamkya,An6,,,5.0,0.01,13.2,13.55,4.61,4.2,5.3,2.93,True
T2-TR17-009,AN6/536,trench,Shamkya,An6,,,5.0,0.01,14.2,11.55,4.47,3.6,1.2,2.8,True
T2-TR17-010,AN6/537,trench,Shamkya,An6,,,5.0,0.01,15.6,12.95,4.61,3.4,1.4,3.07,True
T2-TR17-017,AN6/538,trench,Shamkya,An6,,,5.0,0.01,10.0,13.8,3.91,2.0,22.6,2.2,True
T2-TR17-021,AN6/539,trench,Shamkya,An6,,,5.0,0.01,17.6,16.45,4.11,2.5,1.6,2.89,True
T2-TR17-022,AN6/540,trench,Shamkya,An6,,,5.0,0.01,16.7,13.5,4.66,2.9,3.7,3.0,True
T2-TR17-023,AN6/541,trench,Shamkya,An6,,,5.0,0.01,19.3,15.45,4.43,3.3,6.7,3.17,True
T3-TR1-003,AN6/542,trench,Shamkya,An6,,,5.0,0.01,4.4,2.09,6.36,7.0,22.3,1.46,True
T3-TR1-004,AN6/543,trench,Shamkya,An6,,,5.0,0.01,3.9,0.68,1.62,5.7,7.6,0.59,True
T3-TR1-005,AN6/544,trench,Shamkya,An6,,,5.0,0.01,5.2,0.59,3.9,6.7,5.9,0.71,True
Blank,AN6/545,trench,Shamkya,An6,,,5.0,0.01,0.1,0.16,0.42,0.25,10.7,0.34,True
T3-TR1-006,AN6/546,trench,Shamkya,An6,,,5.0,0.01,10.4,2.72,6.56,7.7,47.4,1.54,True
T3-TR1-007,AN6/547,trench,Shamkya,An6,,,5.0,0.01,2.2,1.51,2.41,6.8,12.1,0.62,True
T3-TR1-008,AN6/548,trench,Shamkya,An6,,,5.0,0.01,2.2,0.8,2.34,9.0,13.6,0.61,True
Duplicate of(T3-TR1-005),AN6/549,trench,Shamkya,An6,,,5.0,0.01,5.2,0.6,3.88,6.4,6.2,0.71,True
T3-TR2-003,AN6/550,trench,Shamkya,An6,,,5.0,0.09,6.6,2.43,3.91,11.2,26.4,1.69,True
T3-TR2-004,AN6/551,trench,Shamkya,An6,,,5.0,0.02,5.8,2.27,3.73,9.3,26.2,1.27,True
T3-TR2-008,AN6/552,trench,Shamkya,An6,,,5.0,0.01,6.0,2.13,5.78,9.3,9.0,0.77,True
T3-TR2-009,AN6/553,trench,Shamkya,An6,,,5.0,0.01,6.8,3.75,6.07,8.1,7.9,0.85,True
T3-TR2-010,AN6/554,trench,Shamkya,An6,,,5.0,0.01,7.7,2.68,6.28,7.8,8.3,0.65,True
T3-TR2-011,AN6/555,trench,Shamkya,An6,,,5.0,0.01,4.4,1.87,4.51,4.8,4.5,0.53,True
T3-TR3-013,AN6/556,trench,Shamkya,An6,,,5.0,0.01,5.4,1.09,3.96,13.3,27.3,1.16,True
T3-TR3-014,AN6/557,trench,Shamkya,An6,,,5.0,0.01,9.0,2.17,4.92,10.0,31.3,1.81,True
Duplicate of(T3-TR3-020),AN6/558,trench,Shamkya,An6,,,5.0,0.01,3.3,0.97,2.0,4.6,9.0,0.5,True
Blank,AN6/559,trench,Shamkya,An6,,,5.0,0.01,0.1,0.12,0.2,0.25,4.8,0.15,True
T3-TR3-017,AN6/560,trench,Shamkya,An6,,,5.0,0.01,5.3,1.81,4.14,7.4,13.2,1.24,True
T3-TR3-018,AN6/561,trench,Shamkya,An6,,,5.0,0.02,8.5,2.31,5.07,10.3,30.1,1.78,True
T3-TR3-019,AN6/562,trench,Shamkya,An6,,,5.0,0.02,4.0,2.29,3.13,8.7,12.7,1.19,True
T3-TR3-020,AN6/563,trench,Shamkya,An6,,,5.0,0.01,3.2,0.97,1.92,4.7,8.9,0.5,True
T3-TR3-021,AN6/564,trench,Shamkya,An6,,,5.0,0.01,3.2,0.5,4.11,2.9,5.3,0.35,True
T3-TR3-022,AN6/565,trench,Shamkya,An6,,,5.0,0.05,2.1,0.39,2.58,3.1,4.3,0.27,True
T3-TR3-023,AN6/566,trench,Shamkya,An6,,,5.0,0.01,9.0,1.19,7.61,9.6,22.5,1.2,True
T3-TR4-005,AN6/567,trench,Shamkya,An6,,,5.0,0.03,0.8,0.12,2.14,6.6,2.1,0.26,True
T3-TR5-003,AN6/568,trench,Shamkya,An6,,,5.0,0.01,2.6,0.95,2.53,9.1,10.0,0.9,True
Duplicate of(T3-TR5-007),AN6/569,trench,Shamkya,An6,,,5.0,0.01,2.1,1.08,3.65,3.3,3.6,0.22,True
