sample_id,lab_id,sample_type,project_area,anomaly_id,easting,northing,au_ppm,as_ppm,sb_ppm,bi_ppm,cu_ppm,zn_ppm,pb_ppm,ag_ppm,below_detection
Q172,714.0,chip,Shamkya,An6,489659.0,2145566.0,0.02,1.0,1.0,1.0,35.0,5.0,1.0,0.1,True
Q173,715.0,chip,Shamkya,An6,489041.0,2146412.0,0.001,4.0,1.0,1.0,131.0,219.0,5.0,0.1,True
Q174,716.0,chip,Shamkya,An6,488219.0,2146634.0,0.001,1.0,1.0,1.0,33.0,19.0,2.0,0.1,True
,,chip,Shamkya,An6,,,,,,,,,,,False
Q175,717.0,chip,Shamkya,An6,,,0.01,1.0,1.0,1.0,4.0,2.0,5.0,0.1,True
Q176,718.0,chip,Shamkya,An6,,,0.01,1.0,1.0,1.0,38.0,2.0,3.0,0.1,True
Q177,719.0,chip,Shamkya,An6,,,7.91,9.0,1.0,12.0,448.0,233.0,72.0,2.9,True
Q178,720.0,chip,Shamkya,An6,,,100.0,23.0,1.0,16.0,24.0,20.0,122.0,15.7,True
Q179,721.0,chip,Shamkya,An6,,,0.13,1.0,1.0,1.0,24.0,58.0,41.0,0.1,True
Q180,722.0,chip,Shamkya,An6,,,0.04,1.0,1.0,2.0,8.0,8.0,34.0,0.1,True
Q181,723.0,chip,Shamkya,An6,,,0.67,43.0,3.0,72.0,629.0,85.0,62.0,2.7,False
Q182,724.0,chip,Shamkya,An6,,,0.26,10.0,2.0,10.0,345.0,31.0,38.0,0.9,False
Q183,725.0,chip,Shamkya,An6,,,4.95,10.0,1.0,11.0,8220.0,37.0,20.0,7.3,True
Q184,726.0,chip,Shamkya,An6,,,0.02,55.0,8.0,4.0,37.0,1350.0,494.0,0.1,True
Q185,727.0,chip,Shamkya,An6,,,0.27,9.0,1.0,2.0,3930.0,15.0,2.0,0.9,True
Q186,728.0,chip,Shamkya,An6,,,0.01,9.0,1.0,1.0,14.0,3.0,2.0,0.1,True
Q187,729.0,chip,Shamkya,An6,,,0.001,9.0,2.0,1.0,56.0,67.0,9.0,0.1,True
