Field No,lab Serial,Prospect,Type,x,y,z,Depth(m),Unnamed: 8,QA/QC,Au,Ag,Al,As,Au.1,B,Ba,Be,Bi,Ca,Cd,Ce,Co,Cr,Cs,Cu,Fe,Ga,Ge,Hf,Hg,In,K,La,Li,Mg,Mn,Mo,Na,Nb,Ni,P,Pb,Rb,Re,S,Sb,Sc,Se,Sn,Sr,Ta,Te,Th,Ti,Tl,U,V,W,Y,Zn,Zr
,,,,,,,From,To,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
RC.BH30.032,1439.0,JAT-P3,RC,498529.0,2143725.0,301.0,32,33,,<0.01,0.02,1.64,2,<0.02,20,70,2.51,0.13,2.54,0.15,92.9,18.2,65.0,2.27,31.5,6.08,13.2,0.15,0.28,<0.01,0.117,0.8,42.9,12.7,1.03,1140.0,6.4,0.08,0.23,13.1,1260,3.6,72.4,0.001,0.05,0.15,11.5,0.4,1.8,39.2,0.01,0.03,8.1,0.213,0.31,1.18,112,0.55,40.4,129.0,3.3
RC.BH30.033,1440.0,JAT-P3,RC,498529.0,2143725.0,300.0,33,34,,<0.01,0.02,0.49,1.2,<0.02,20,40,1.18,0.06,0.4,0.13,143,1.5,114.0,0.73,9.7,2.4,5.48,0.16,0.23,<0.01,0.112,0.31,66.4,3.3,0.14,815.0,9.53,0.08,0.61,3.3,190,2.7,30.1,0.002,0.02,0.08,3.4,0.4,1.9,18.0,0.01,0.01,14.5,0.05,0.15,1.78,3,1.44,46.6,107.0,5.7
RC.BH30.034,1441.0,JAT-P3,RC,498529.0,2143725.0,299.0,34,35,,<0.01,0.01,0.58,0.4,<0.02,20,50,0.53,0.04,0.21,0.13,136.5,1.2,118.0,0.97,6.9,2.33,6.54,0.17,0.21,<0.01,0.109,0.39,63.5,4.9,0.18,536.0,9.72,0.1,0.64,3.1,180,2.6,40.5,0.002,0.02,0.05,3.0,<0.2,2.4,5.8,0.01,0.01,14.4,0.065,0.19,1.46,2,1.6,46.8,94.0,5.1
RC.BH30.035,1442.0,JAT-P3,RC,498529.0,2143725.0,298.0,35,36,,<0.01,0.02,0.5,1.4,<0.02,10,40,0.61,0.07,0.39,0.15,140.5,2.0,113.0,0.78,4.6,2.56,5.59,0.17,0.23,<0.01,0.123,0.29,64.6,3.2,0.13,757.0,9.81,0.08,0.62,3.5,260,2.6,29.3,0.002,0.01,0.07,3.8,0.4,2,16.0,0.01,0.01,14.7,0.047,0.15,1.48,7,0.86,51.8,101.0,5.6
RC.BH30.036,1443.0,JAT-P3,RC,498529.0,2143725.0,297.0,36,37,,<0.01,0.02,0.57,1.6,<0.02,<10,40,0.7,0.16,0.32,0.16,135,2.5,134.0,1.09,6.7,2.42,5.46,0.17,0.18,0.01,0.111,0.34,63,4.3,0.19,612.0,12.4,0.08,0.63,6.5,220,3.5,39.6,0.001,0.01,0.06,4.1,0.2,2.2,11.5,0.01,0.01,13.2,0.047,0.17,1.94,5,1.07,47.9,92.0,6.4
RC.BH30.037,1444.0,JAT-P3,RC,498529.0,2143725.0,296.0,37,38,,<0.01,0.04,0.55,2.5,<0.02,20,30,1.12,0.15,0.27,0.15,129,2.8,120.0,0.77,5.2,2.88,5.28,0.14,0.21,<0.01,0.11,0.25,60.3,2.9,0.16,699.0,9.4,0.07,0.41,4.0,420,3.6,24.5,0.002,0.02,0.14,4.6,0.7,1.5,16.5,0.01,0.01,12.8,0.033,0.12,1.59,12,0.58,38.6,80.0,5.5
RC.BH30.038,1445.0,JAT-P3,RC,498529.0,2143725.0,295.0,38,39,,<0.01,0.03,0.53,2.1,<0.02,10,40,0.9,0.03,1.21,0.1,139,1.8,124.0,0.76,5.0,2.36,4.9,0.16,0.24,<0.01,0.11,0.23,64.9,2.4,0.19,1130.0,10.65,0.06,0.46,3.7,200,2.4,24.5,0.002,<0.01,0.1,3.2,0.4,1.3,26.4,0.01,0.01,13.8,0.035,0.11,1.14,2,0.53,42.1,77.0,6.8
RC.BH31.025,1446.0,JAT-P3,RC,498478.0,2143763.0,309.0,24,25,,<0.01,0.02,0.48,0.6,<0.02,10,40,1.01,0.09,0.32,0.17,133,7.6,120.0,0.48,5.2,2.16,5.54,0.17,0.2,0.02,0.113,0.3,61.5,2.7,0.08,462.0,9.43,0.08,1.85,3.4,50,4.2,28.5,0.002,<0.01,0.07,1.9,0.2,2.4,12.0,0.01,0.01,13.9,0.042,0.16,2.39,1,43.1,39.4,105.0,4.7
RC.BH31.026,1447.0,JAT-P3,RC,498478.0,2143763.0,308.0,25,26,,<0.01,0.02,0.76,0.7,<0.02,10,70,0.8,0.1,0.37,0.15,128.5,1.5,117.0,0.96,2.8,2.5,7.87,0.16,0.17,<0.01,0.127,0.53,59,6.4,0.21,507.0,9.05,0.08,1.68,3.9,110,3.7,54.8,0.001,0.01,0.05,3.0,0.6,2.6,8.1,0.01,0.01,13.5,0.092,0.31,2.56,5,1.74,47.7,116.0,3.5
RC.BH31.027,1448.0,JAT-P3,RC,498478.0,2143763.0,307.0,26,27,,<0.01,0.02,0.48,0.6,<0.02,10,40,0.85,0.11,0.24,0.12,135,0.7,116.0,0.46,5.2,2.24,6.19,0.15,0.17,<0.01,0.127,0.29,62.2,3.3,0.11,407.0,8.67,0.09,1.88,3.4,50,2.6,28.4,0.002,0.04,0.05,2.0,0.7,2.6,7.0,0.01,0.02,14.5,0.048,0.17,3,1,2.51,58.1,91.0,3
RC.BH31.028,1449.0,JAT-P3,RC,498478.0,2143763.0,306.0,27,28,,<0.01,0.02,0.62,0.5,<0.02,10,40,1.09,0.08,0.5,0.14,133,0.6,120.0,0.59,5.0,2.29,6.59,0.16,0.21,<0.01,0.12,0.38,62.6,3.9,0.2,518.0,10.1,0.08,2.58,3.1,40,3.3,35.7,0.002,0.02,0.05,2.0,0.4,3.1,12.9,0.01,0.01,14.1,0.063,0.18,2.29,<1,1.45,39.4,111.0,4.5
RC.BH31.029,1450.0,JAT-P3,RC,498478.0,2143763.0,305.0,28,29,,<0.01,0.02,0.6,0.4,<0.02,10,50,0.69,0.08,0.22,0.16,129.5,0.6,116.0,0.58,3.2,1.94,6.07,0.14,0.18,<0.01,0.108,0.41,60.2,4.0,0.19,354.0,9.45,0.09,2.66,3.5,40,3.8,38.1,0.002,0.02,0.05,1.6,0.3,3.1,5.5,0.01,0.01,13.6,0.072,0.18,2.37,<1,1.94,38.4,96.0,4.1
,1451.0,JAT-P3,QA/QC,,,,,,Duplicate of RC.BH31.035,0.21,0.57,0.4,149,0.2,10,60,0.47,42.8,0.04,0.08,48.2,5.1,145.0,0.19,177.0,6.71,4.21,0.08,0.1,<0.01,0.4,0.29,26,1.0,0.04,319.0,12.9,0.08,0.7,4.5,260,6.6,12.6,0.002,0.42,0.24,2.0,1.6,2.1,69.8,<0.01,0.18,4.7,0.014,0.07,1.34,6,4.18,5.57,55.0,3
RC.BH31.030,1452.0,JAT-P3,RC,498478.0,2143763.0,304.0,29,30,,<0.01,0.03,0.63,0.9,<0.02,10,50,1.0,0.16,0.26,0.12,136,1.3,221.0,0.8,4.2,2.26,6.17,0.16,0.16,0.01,0.101,0.44,62.8,5.4,0.25,489.0,20.2,0.07,2.47,6.9,40,4.7,44.8,0.002,0.01,0.08,2.2,0.2,3,7.9,0.01,0.01,13.9,0.074,0.2,1.51,2,1.62,29.6,183.0,4.6
RC.BH31.031,1453.0,JAT-P3,RC,498478.0,2143763.0,303.0,30,31,,<0.01,0.02,0.47,0.8,<0.02,10,40,0.88,0.05,0.21,0.16,144,0.9,179.0,0.4,4.3,1.98,4.81,0.16,0.16,0.01,0.133,0.3,67.3,2.6,0.12,318.0,16.1,0.08,3.02,4.5,30,5.1,26.1,0.002,0.02,0.07,2.2,0.2,2.4,4.6,0.01,0.01,14.3,0.052,0.11,2.23,1,1.58,33.2,123.0,4.5
RC.BH31.032,1454.0,JAT-P3,RC,498478.0,2143763.0,302.0,31,32,,<0.01,0.03,0.58,0.5,<0.02,10,50,0.74,0.04,0.21,0.19,137,0.8,148.0,0.61,4.2,1.97,5.82,0.16,0.14,0.01,0.118,0.41,62.9,3.6,0.21,393.0,14.65,0.09,2.86,3.9,20,5.7,38.2,0.002,0.04,0.06,2.3,0.3,3.6,4.3,0.01,0.01,13.7,0.078,0.17,1.68,1,1.98,28.4,117.0,3.9
RC.BH31.033,1455.0,JAT-P3,RC,498478.0,2143763.0,301.0,32,33,,<0.01,0.03,0.61,0.5,<0.02,10,60,1.0,0.05,0.14,0.2,156.5,2.5,134.0,0.7,3.0,2.19,6.28,0.17,0.17,0.01,0.125,0.43,71.8,3.8,0.2,662.0,18.75,0.09,2.64,3.8,20,5.6,38.8,0.001,0.01,0.06,2.2,0.3,3.7,7.8,<0.01,0.02,15.6,0.075,0.17,1.93,1,1.3,29.3,144.0,5.1
RC.BH31.034,1456.0,JAT-P3,RC,498478.0,2143763.0,300.0,33,34,,<0.01,0.02,0.68,0.7,<0.02,10,60,0.63,0.04,0.03,0.13,141,1.9,124.0,0.86,175.0,2.07,6.31,0.18,0.11,<0.01,0.111,0.47,63.5,3.7,0.19,345.0,12.1,0.08,2.2,3.7,40,4.6,49.6,0.001,0.02,0.06,2.8,0.5,3.5,11.7,<0.01,<0.01,15.3,0.088,0.21,2.01,2,1.03,37.4,97.0,3.2
RC.BH31.035,1457.0,JAT-P3,RC,498478.0,2143763.0,299.0,34,35,QA/QC,0.24,0.62,0.42,149.5,0.15,10,60,0.58,41.2,0.04,0.08,49.6,6.0,157.0,0.2,187.5,7.04,4.02,0.09,0.08,<0.01,0.413,0.3,26.4,1.1,0.04,330.0,16.1,0.08,0.7,5.0,270,6.5,11.9,0.002,0.41,0.22,2.2,1.7,2.1,69.0,<0.01,0.21,4.5,0.015,0.07,1.3,6,4.02,5.64,58.0,2.9
,1458.0,JAT-P3,QA/QC,,,,,,BLANK SAMPLE,<0.01,0.01,0.29,0.5,<0.02,<10,10,0.28,0.1,0.04,0.01,2.5,0.5,122.0,0.1,2.0,0.35,1.03,<0.05,0.12,0.01,<0.005,0.3,1,0.3,0.01,72.0,9.55,0.04,0.24,2.5,10,11.4,9.8,0.001,0.01,<0.05,0.2,<0.2,<0.2,1.7,<0.01,0.01,4.7,<0.005,0.06,1.84,2,0.09,1.53,4.0,2.3
RC.BH31.036,1459.0,JAT-P3,RC,498478.0,2143763.0,298.0,35,36,,0.01,0.08,0.59,26.9,<0.02,<10,50,0.96,0.84,0.09,0.29,129,5.2,128.0,0.47,303.0,2.66,4.55,0.15,0.14,<0.01,0.162,0.31,58.6,1.7,0.09,778.0,13.1,0.06,0.62,3.8,230,4.4,27.5,0.001,0.08,0.14,3.3,0.6,1.3,26.6,<0.01,0.01,12.5,0.031,0.12,1.39,2,0.81,28.0,100.0,4.6
RC.BH31.037,1460.0,JAT-P3,RC,498478.0,2143763.0,297.0,36,37,,<0.01,0.03,0.55,0.9,<0.02,10,40,2.09,0.2,0.58,0.16,124,6.9,125.0,0.33,59.1,3.08,3.43,0.14,0.12,0.01,0.072,0.24,57.1,1.5,0.17,1490.0,12.3,0.05,0.35,4.5,300,4.9,17.1,0.002,0.03,0.1,2.8,0.3,1,25.5,<0.01,0.04,11.4,0.015,0.08,0.93,4,0.54,18.95,107.0,4.7
RC.BH31.038,1461.0,JAT-P3,RC,498478.0,2143763.0,296.0,37,38,,0.01,0.03,0.47,0.9,<0.02,10,20,1.94,0.17,0.75,0.13,124,1.5,134.0,0.27,3.3,2.41,2.75,0.13,0.14,0.01,0.059,0.24,56.9,1.4,0.32,954.0,13.8,0.03,0.28,3.4,190,3.9,12.1,0.002,0.08,0.1,1.6,0.4,0.6,13.3,<0.01,0.03,11.4,<0.005,0.06,1.37,1,0.47,12.2,58.0,5
RC.BH31.039,1462.0,JAT-P3,RC,498478.0,2143763.0,295.0,38,39,,<0.01,0.03,0.52,0.6,<0.02,<10,20,1.41,0.1,0.52,0.13,125,1.5,148.0,0.42,4.3,2.14,3.9,0.12,0.15,0.01,0.069,0.23,57.3,2.3,0.24,639.0,13.85,0.05,0.53,3.3,190,3.3,20.6,0.003,0.08,0.06,2.4,0.5,1.1,6.3,<0.01,0.01,12,0.021,0.11,1,1,0.77,23.4,72.0,4.6
RC.BH31.040,1463.0,JAT-P3,RC,498478.0,2143763.0,294.0,39,40,,<0.01,0.04,0.39,0.9,<0.02,<10,10,0.9,0.06,0.42,0.1,49.5,1.0,126.0,0.3,3.8,1.06,2.74,0.05,0.13,0.01,0.042,0.17,22.8,1.4,0.15,406.0,10.8,0.07,5.86,3.2,100,9.7,10.8,0.002,0.06,0.07,2.2,0.2,0.7,5.5,0.01,0.02,7.4,0.008,0.05,13,1,1.18,20.3,40.0,3.3
RC.BH31.041,1464.0,JAT-P3,RC,498478.0,2143763.0,293.0,40,41,,<0.01,0.03,0.46,0.9,<0.02,<10,20,1.55,0.09,0.54,0.15,112.5,1.6,129.0,0.25,4.3,2.16,3.72,0.13,0.16,<0.01,0.084,0.18,51.5,2.0,0.27,721.0,11.3,0.05,0.44,3.3,160,5.0,10.9,0.002,0.1,0.08,2.9,<0.2,1,8.0,<0.01,0.01,10.9,0.006,0.05,3.22,2,0.56,21.7,85.0,5.2
RC.BH31.042,1465.0,JAT-P3,RC,498478.0,2143763.0,292.0,41,42,,<0.01,0.04,0.46,0.9,<0.02,<10,30,1.42,0.12,0.48,0.21,131.5,2.7,121.0,0.51,7.5,2.61,4.81,0.13,0.16,0.01,0.115,0.24,60.2,3.8,0.26,749.0,12.15,0.08,0.54,3.5,270,6.0,23.0,0.002,0.12,0.1,4.9,<0.2,1.7,7.6,<0.01,0.01,12.5,0.031,0.12,1.7,8,2.01,34.2,119.0,4.3
RC.BH31.043,1466.0,JAT-P3,RC,498478.0,2143763.0,291.0,42,43,,<0.01,0.02,0.44,1,<0.02,<10,30,1.3,0.08,0.32,0.19,140,2.2,116.0,0.49,5.8,2.46,4.79,0.15,0.14,<0.01,0.114,0.25,64.3,4.0,0.21,656.0,10.8,0.09,0.65,3.8,230,5.1,21.9,0.002,0.1,0.07,4.3,0.7,1.8,6.4,<0.01,0.01,14,0.031,0.1,1.66,5,1.98,31.9,96.0,3.9
RC.BH31.044,1467.0,JAT-P3,RC,498478.0,2143763.0,290.0,43,44,,<0.01,0.03,0.42,1,<0.02,<10,30,1.87,0.11,0.85,0.2,115.5,3.7,117.0,0.35,7.6,2.7,3.9,0.14,0.13,0.01,0.1,0.22,53,3.6,0.33,975.0,10.6,0.07,0.47,4.6,270,9.6,17.8,0.002,0.13,0.12,4.0,0.3,1.3,20.7,<0.01,<0.01,11.7,0.021,0.08,2.04,10,0.67,23.8,92.0,3.8
RC.BH31.045,1468.0,JAT-P3,RC,498478.0,2143763.0,289.0,44,45,,<0.01,0.03,0.4,3,<0.02,<10,30,1.67,0.11,0.54,0.16,108,4.6,129.0,0.35,7.2,2.64,3.51,0.13,0.15,0.01,0.099,0.18,50.2,3.2,0.32,662.0,11.85,0.08,0.31,6.9,380,5.4,11.3,0.003,0.12,0.13,5.2,0.3,1,14.0,<0.01,0.02,10.3,0.017,0.07,1.44,21,1.04,26.2,113.0,4.2
RC.BH31.046,1469.0,JAT-P3,RC,498478.0,2143763.0,288.0,45,46,,<0.01,0.04,0.6,2.8,<0.02,<10,10,2.66,0.09,0.88,0.21,121,2.6,103.0,0.31,4.1,2.55,5.24,0.13,0.16,0.01,0.099,0.15,55.3,2.2,0.35,732.0,12.6,0.03,0.18,4.4,270,12.8,8.0,0.002,0.07,0.09,3.6,0.2,1.2,14.0,<0.01,0.01,11,<0.005,0.03,1.55,4,0.36,23.6,118.0,5.2
RC.BH31.047,1470.0,JAT-P3,RC,498478.0,2143763.0,287.0,46,47,,<0.01,0.02,0.41,1.5,<0.02,<10,20,2.04,0.04,1.34,0.13,116.5,1.6,106.0,0.16,3.3,2.24,3.03,0.14,0.14,0.01,0.093,0.15,53.7,1.8,0.26,765.0,9.64,0.04,0.22,2.8,210,5.5,6.4,0.002,0.08,0.07,2.9,0.4,0.9,14.0,<0.01,0.01,10.7,<0.005,0.03,0.81,1,0.63,21.2,78.0,4.3
RC.BH31.048,1471.0,JAT-P3,RC,498478.0,2143763.0,286.0,47,48,QA/QC,<0.01,0.02,0.38,2.2,<0.02,<10,20,1.6,0.05,1.0,0.15,129.5,1.5,122.0,0.22,3.7,2.2,2.83,0.13,0.14,0.01,0.088,0.16,59.3,1.6,0.27,748.0,10.9,0.04,0.25,2.8,220,3.8,7.7,0.001,0.13,0.12,2.7,<0.2,0.8,8.6,<0.01,0.01,12.1,<0.005,0.04,1.36,1,0.62,26.2,91.0,4.1
RC.BH31.049,1472.0,JAT-P3,RC,498478.0,2143763.0,285.0,48,49,,<0.01,0.03,0.37,4.8,<0.02,<10,20,1.27,0.05,0.5,0.14,138.5,1.5,126.0,0.16,3.7,2.43,2.81,0.14,0.14,0.01,0.097,0.13,64.5,1.5,0.35,769.0,16.1,0.06,0.29,2.8,220,3.3,6.5,0.002,0.16,0.18,3.2,0.3,0.9,7.6,<0.01,<0.01,12.5,<0.005,0.04,0.84,1,0.7,26.4,79.0,4.8
RC.BH31.050,1473.0,JAT-P3,RC,498478.0,2143763.0,284.0,49,50,,0.01,0.04,0.42,4.7,<0.02,<10,20,1.53,0.06,1.01,0.17,148.5,1.7,120.0,0.23,2.8,2.53,3.05,0.16,0.18,0.01,0.106,0.14,68.1,1.7,0.54,930.0,12.15,0.05,0.28,2.9,240,3.1,7.7,0.003,0.2,0.22,3.6,<0.2,0.9,15.2,<0.01,<0.01,13.5,0.005,0.04,1.27,3,0.69,33.0,84.0,5.4
RC.BH31.051,1474.0,JAT-P3,RC,498478.0,2143763.0,283.0,50,51,,<0.01,0.03,0.34,2.5,<0.02,<10,20,1.07,0.06,0.56,0.12,145.5,1.5,126.0,0.21,4.5,2.47,3.29,0.16,0.15,0.01,0.115,0.13,66.5,1.4,0.36,740.0,12.9,0.07,0.42,3.0,210,2.5,7.3,0.002,0.16,0.16,3.6,<0.2,1.2,7.0,<0.01,0.01,13.2,0.009,0.04,0.83,1,1.21,29.7,71.0,4.8
RC.BH31.052,1475.0,JAT-P3,RC,498478.0,2143763.0,282.0,51,52,,<0.01,0.02,0.4,0.9,<0.02,<10,30,0.99,0.04,0.46,0.16,140.5,1.5,116.0,0.44,3.3,2.54,4.13,0.15,0.17,0.01,0.108,0.2,64.8,1.9,0.35,730.0,11.25,0.08,0.46,2.9,230,2.2,17.1,0.002,0.05,0.08,3.7,0.3,1.5,6.5,<0.01,<0.01,12.7,0.022,0.07,0.74,2,1.17,29.9,84.0,4.7
,1476.0,JAT-P3,QA/QC,,,,,,Duplicate of RC.BH31.048,<0.01,0.02,0.38,2,<0.02,<10,20,1.54,0.05,0.97,0.16,133.5,1.5,123.0,0.21,3.7,2.21,2.92,0.15,0.14,0.01,0.084,0.16,62,1.6,0.27,724.0,11.15,0.04,0.23,2.9,220,3.7,7.8,0.002,0.12,0.12,2.7,0.2,0.9,8.6,<0.01,0.01,12.4,<0.005,0.03,1.04,1,0.6,26.7,92.0,4.2
RC.BH31.053,1477.0,JAT-P3,RC,498478.0,2143763.0,281.0,52,53,,<0.01,0.02,0.67,0.5,<0.02,<10,60,0.79,0.03,0.19,0.19,148.5,1.5,112.0,0.99,1.9,2.63,6.41,0.18,0.16,0.01,0.125,0.45,68,4.5,0.35,750.0,10.55,0.09,0.72,2.8,250,2.0,45.2,0.002,0.03,0.05,4.4,<0.2,1.8,4.6,<0.01,0.01,13.6,0.079,0.18,0.72,2,1.05,26.1,107.0,5
RC.BH31.054,1478.0,JAT-P3,RC,498478.0,2143763.0,280.0,53,54,,<0.01,0.01,0.6,0.5,<0.02,<10,60,0.6,0.02,0.22,0.15,141,1.4,114.0,0.76,4.2,2.52,6.11,0.15,0.14,0.01,0.115,0.42,64.3,3.9,0.29,673.0,11.75,0.09,0.7,2.9,240,2.6,41.2,0.002,0.02,0.05,4.1,0.4,1.7,4.7,<0.01,0.01,13.6,0.079,0.16,0.89,2,1.17,33.6,102.0,4.1
RC.BH31.055,1479.0,JAT-P3,RC,498478.0,2143763.0,279.0,54,55,,<0.01,0.01,0.48,0.5,<0.02,<10,40,0.5,0.03,0.35,0.15,121.5,1.4,120.0,0.49,5.2,2.37,4.9,0.14,0.11,0.01,0.094,0.33,55.7,3.1,0.28,569.0,11.85,0.09,0.83,3.3,210,3.6,28.6,0.002,0.02,0.07,3.6,0.3,1.2,7.4,<0.01,0.01,12,0.055,0.12,1.17,1,1.43,24.9,90.0,3.5
RC.BH31.056,1480.0,JAT-P3,RC,498478.0,2143763.0,278.0,55,56,,0.05,0.27,0.44,5.5,<0.02,<10,30,1.3,0.32,0.93,5.67,113,1.7,125.0,0.38,7.8,2.51,3.06,0.13,0.12,0.01,0.114,0.22,51.3,1.8,0.36,1210.0,10.9,0.05,0.54,3.1,210,256.0,12.4,0.002,0.13,0.12,2.6,0.3,0.7,24.0,<0.01,0.01,10.7,0.012,0.06,1.03,1,0.98,15.1,579.0,4.8
RC.BH31.057,1481.0,JAT-P3,RC,498478.0,2143763.0,277.0,56,57,,<0.01,0.03,0.76,0.5,<0.02,<10,70,1.37,0.06,0.8,0.19,115,4.7,113.0,0.74,1.9,2.96,6.52,0.14,0.18,<0.01,0.104,0.4,52.1,5.8,0.52,810.0,11.2,0.09,0.7,4.6,290,4.7,31.5,0.002,0.06,0.07,5.3,0.2,1.4,12.3,<0.01,<0.01,10.7,0.074,0.14,1.21,19,1.55,21.2,106.0,5.1
RC.BH31.058,1482.0,JAT-P3,RC,498478.0,2143763.0,276.0,57,58,,<0.01,0.04,0.48,0.6,<0.02,<10,40,0.81,0.04,0.25,0.15,133,1.6,121.0,0.43,3.7,2.33,4.91,0.15,0.18,0.01,0.134,0.29,61.5,3.2,0.27,592.0,12.05,0.09,2.73,3.2,60,3.7,23.6,0.001,0.07,0.07,3.0,0.3,2.7,4.5,0.01,0.01,12.4,0.053,0.1,2.11,3,2.24,27.3,99.0,5
RC.BH31.059,1483.0,JAT-P3,RC,498478.0,2143763.0,275.0,58,59,,<0.01,0.02,0.5,0.3,<0.02,<10,50,0.76,0.04,0.17,0.15,146,1.0,115.0,0.47,4.9,2.32,5.7,0.18,0.18,0.01,0.138,0.32,66.9,3.6,0.21,542.0,11.65,0.1,2.23,3.0,50,2.7,28.3,0.002,0.03,0.07,2.9,0.3,3.1,4.3,<0.01,<0.01,14.2,0.063,0.13,1.6,2,2.39,34.3,110.0,5.2
RC.BH32.017,1484.0,JAT-P3,RC,498463.0,2143813.0,314.0,17,18,,<0.01,0.02,0.76,0.8,<0.02,<10,70,0.96,0.03,0.18,0.15,121.5,0.7,136.0,0.97,3.4,2.34,7.47,0.15,0.14,<0.01,0.106,0.56,55.4,6.3,0.23,497.0,12.65,0.08,2.72,5.6,40,3.3,56.5,0.001,0.01,0.07,2.6,0.3,3.3,7.1,0.01,<0.01,12.4,0.109,0.25,1.25,1,0.92,41.8,129.0,3.6
RC.BH32.018,1485.0,JAT-P3,RC,498463.0,2143813.0,313.0,18,19,,<0.01,0.02,0.58,0.8,<0.02,<10,50,0.78,0.06,1.09,0.16,133,0.8,133.0,0.57,4.3,2.19,6.66,0.15,0.16,0.01,0.105,0.35,61,4.6,0.14,494.0,12.7,0.07,2.63,5.3,50,2.8,34.3,0.002,0.02,0.07,2.3,0.5,3.1,13.4,0.01,0.01,14.1,0.072,0.16,1.75,1,1.6,58.1,107.0,3.5
RC.BH32.019,1486.0,JAT-P3,RC,498463.0,2143813.0,312.0,19,20,,<0.01,0.02,0.56,0.5,<0.02,<10,50,0.58,0.11,0.16,0.11,136.5,0.8,130.0,0.66,3.5,2.44,6.85,0.17,0.15,<0.01,0.12,0.36,62.1,4.3,0.12,428.0,12.35,0.08,2,5.8,60,2.0,38.6,0.002,<0.01,0.07,2.1,<0.2,2.7,8.3,0.01,0.01,14.4,0.065,0.19,1.88,1,1.7,62.0,102.0,3.5
RC.BH32.020,1487.0,JAT-P3,RC,498463.0,2143813.0,311.0,20,21,,<0.01,0.02,0.59,0.7,<0.02,<10,50,0.57,0.1,0.12,0.13,134,0.9,133.0,0.62,4.7,2.25,6.53,0.12,0.23,0.01,0.116,0.37,62.9,3.2,0.12,403.0,12.8,0.08,2.23,6.2,50,2.2,34.8,0.002,<0.01,0.05,2.3,<0.2,3,10.1,0.02,0.01,15.2,0.068,0.21,1.59,1,0.99,54.8,100.0,4.5
RC.BH32.021,1488.0,JAT-P3,RC,498463.0,2143813.0,310.0,21,22,,<0.01,0.02,1.01,1,<0.02,<10,100,1.33,0.22,0.33,0.12,119,5.0,129.0,1.66,8.4,3.51,9.9,0.15,0.2,0.02,0.108,0.6,55.2,6.6,0.35,846.0,13.75,0.06,0.82,6.1,340,2.9,70.9,0.003,<0.01,0.06,5.9,0.4,2.7,23.7,0.01,0.02,13.5,0.121,0.47,1.56,18,0.75,47.6,120.0,3.7
RC.BH32.022,1489.0,JAT-P3,RC,498463.0,2143813.0,309.0,22,23,,<0.01,0.02,0.52,1.8,<0.02,<10,30,0.83,0.08,0.21,0.16,133.5,0.8,128.0,0.34,3.2,2.31,5.24,0.11,0.23,0.01,0.113,0.22,61.6,2.0,0.09,480.0,12.95,0.06,1.05,5.4,40,2.6,17.9,0.004,<0.01,0.08,2.0,<0.2,2.3,11.8,0.02,0.01,14.6,0.029,0.13,2.02,1,0.89,46.7,101.0,5
RC.BH32.023,1490.0,JAT-P3,RC,498463.0,2143813.0,308.0,23,24,,0.02,0.02,0.53,1.1,<0.02,<10,30,0.84,0.12,0.19,0.21,128.5,0.8,125.0,0.32,5.0,2.35,5.43,0.12,0.22,0.01,0.108,0.2,59.4,1.9,0.09,728.0,13.45,0.06,1.25,5.2,40,2.9,16.7,0.001,<0.01,0.07,1.8,0.3,2.3,16.2,0.02,0.01,13.4,0.025,0.11,1.91,1,0.69,40.4,97.0,5.1
RC.BH32.024,1491.0,JAT-P3,RC,498463.0,2143813.0,307.0,24,25,,<0.01,0.01,0.6,0.3,<0.02,<10,50,0.64,0.07,0.16,0.14,132,0.8,129.0,0.6,3.5,2.18,6.21,0.12,0.19,0.01,0.099,0.36,62,3.4,0.16,459.0,13.1,0.07,2.64,5.6,50,3.5,37.0,0.004,<0.01,0.06,2.0,0.2,2.7,9.5,0.02,<0.01,14.3,0.063,0.22,1.56,1,0.97,41.5,100.0,4.6
RC.BH32.025,1492.0,JAT-P3,RC,498463.0,2143813.0,306.0,25,26,,<0.01,0.02,0.59,0.5,<0.02,<10,50,0.69,0.03,0.18,0.12,123.5,0.8,139.0,0.61,4.2,1.83,5.78,0.12,0.19,0.01,0.103,0.37,57.6,2.9,0.16,397.0,13.0,0.08,3.27,5.6,20,3.5,35.9,0.004,0.01,<0.05,1.8,0.2,3.7,8.8,0.01,0.01,13.5,0.067,0.19,1.34,2,0.63,34.0,100.0,4.4
RC.BH32.026,1493.0,JAT-P3,RC,498463.0,2143813.0,305.0,26,27,,0.01,0.02,0.45,0.6,<0.02,<10,40,0.59,0.03,0.13,0.19,137.5,0.8,128.0,0.45,4.4,1.73,5.14,0.12,0.21,0.02,0.122,0.28,65.3,2.2,0.09,297.0,13.55,0.08,3.77,5.9,20,3.9,25.7,0.003,0.01,0.08,1.9,0.6,3.7,7.9,0.02,0.01,15.1,0.047,0.14,1.33,1,1.11,39.0,105.0,5.1
