Field No,lab Serial,Prospect,Type,x,y,z,Depth(m),Unnamed: 8,QA/QC,Au,Ag,Al,As,Au.1,B,Ba,Be,Bi,Ca,Cd,Ce,Co,Cr,Cs,Cu,Fe,Ga,Ge,Hf,Hg,In,K,La,Li,Mg,Mn,Mo,Na,Nb,Ni,P,Pb,Rb,Re,S,Sb,Sc,Se,Sn,Sr,Ta,Te,Th,Ti,Tl,U,V,W,Y,Zn,Zr
,,,,,,,From,To,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
RC.BH19.043,923.0,JAT-P3,RC,498794.926,2144447.1,292.51,42,43,,<0.01,0.03,0.99,2.3,<0.02,<10,30,0.88,0.09,0.81,0.13,>500,3.4,89.0,1.43,8.4,2.82,10.3,0.47,0.23,<0.01,0.113,0.49,320,10.1,0.18,471.0,12.15,0.05,1.44,7.9,200,4.0,35.2,0.002,0.01,0.06,3.1,0.8,0.9,14.2,0.01,<0.01,38.1,0.089,0.2,2.44,12,0.5,23.5,110.0,6.3
RC.BH19.044,924.0,JAT-P3,RC,498794.926,2144447.1,291.51,43,44,,<0.01,0.02,0.95,1.3,<0.02,<10,30,0.75,0.1,0.69,0.15,>500,2.4,97.0,1.35,5.1,2.69,10.15,0.45,0.22,0.01,0.119,0.49,290,9.7,0.14,393.0,12.9,0.05,1.79,6.1,200,4.2,35.1,0.002,0.01,0.06,2.7,0.4,1.1,11.6,0.01,<0.01,37.6,0.087,0.2,2.36,6,1.06,26.1,110.0,6.3
RC.BH19.045,925.0,JAT-P3,RC,498794.926,2144447.1,290.51,44,45,,<0.01,0.06,1.74,4.8,<0.02,<10,60,1.58,0.14,1.58,0.15,356,15.0,214.0,3.64,31.0,3.89,10.65,0.33,0.17,<0.01,0.121,0.5,178.5,22.4,1.16,534.0,11.65,0.05,0.53,48.3,330,3.3,40.6,0.003,0.01,0.13,10.0,0.5,1.9,28.6,0.01,<0.01,20,0.097,0.32,2.12,78,0.41,22.9,99.0,4.2
,926.0,JAT-P3,QA/QC,498794.926,2144447.1,312.51,22,23,Duplicate of RC.BH19.023,0.01,0.13,0.6,10.8,<0.02,<10,50,0.87,0.21,2.74,0.3,80,7.2,101.0,0.16,48.4,2.49,2.1,0.09,0.09,<0.01,0.057,0.26,42.9,1.5,0.06,1340.0,12.15,0.01,0.07,9.9,410,5.6,10.0,0.002,<0.01,0.13,2.0,0.4,0.3,38.7,<0.01,<0.01,9.6,<0.005,0.06,1.51,7,0.54,7.36,60.0,3.2
RC.BH19.046,927.0,JAT-P3,RC,498794.926,2144447.1,289.51,45,46,,<0.01,0.07,2.61,1.9,<0.02,<10,210,1.27,0.14,2.95,0.14,66.7,24.4,168.0,9.07,41.5,4.87,10.3,0.2,0.2,0.01,0.121,0.66,34.8,41.2,2.7,762.0,4.45,0.12,0.14,91.7,780,2.1,53.8,0.002,0.06,0.07,16.3,0.4,4.7,47.0,<0.01,<0.01,3.6,0.222,0.71,0.83,114,0.3,14.75,85.0,3
RC.BH19.047,928.0,JAT-P3,RC,498794.926,2144447.1,288.51,46,47,,<0.01,0.09,2.2,1.9,<0.02,<10,120,0.97,0.17,1.92,0.16,34.2,25.3,103.0,3.67,61.3,3.85,8.3,0.19,0.24,<0.01,0.046,0.38,16.2,31.7,2.36,504.0,5.43,0.23,0.1,54.9,870,2.0,25.5,0.005,0.09,0.07,16.4,0.5,12,29.0,<0.01,<0.01,1.8,0.305,0.97,0.43,138,0.38,12.15,55.0,4.3
RC.BH19.048,929.0,JAT-P3,RC,498794.926,2144447.1,287.51,47,48,,<0.01,0.01,3.31,35.3,<0.02,<10,180,2.83,0.27,1.09,0.11,20.7,38.7,294.0,15.6,4.3,4.24,10.75,0.22,0.12,<0.01,0.048,1.18,9.9,57.1,6.08,402.0,2.91,0.11,0.08,231.0,500,2.6,101.0,0.001,0.02,0.22,9.5,<0.2,23.5,25.6,<0.01,<0.01,1.6,0.176,0.69,0.36,99,0.23,5.63,65.0,1.7
RC.BH19.049,930.0,JAT-P3,RC,498794.926,2144447.1,286.51,48,49,,<0.01,0.01,0.83,71.4,<0.02,<10,40,0.95,0.2,1.2,0.08,3.7,18.1,192.0,4.82,1.0,1.27,3.8,0.09,0.03,<0.01,0.012,0.46,1.9,10.3,2.78,366.0,1.57,0.03,0.07,181.5,80,0.7,37.7,<0.001,0.03,0.31,2.4,<0.2,4.1,12.8,<0.01,<0.01,0.3,0.041,0.25,0.21,18,0.1,1.84,21.0,<0.5
RC.BH19.050,931.0,JAT-P3,RC,498794.926,2144447.1,285.51,49,50,,0.01,0.01,0.6,93.8,<0.02,<10,30,0.69,0.26,0.59,0.06,2.45,14.0,181.0,3.95,0.9,0.97,3.34,0.06,0.03,<0.01,0.011,0.38,1.2,7.4,2.35,215.0,1.79,0.02,0.07,229.0,70,0.6,31.7,<0.001,0.02,0.52,1.9,<0.2,1.9,6.4,<0.01,0.01,0.2,0.025,0.22,0.17,14,0.1,1.19,22.0,<0.5
RC.BH19.051,932.0,JAT-P3,RC,498794.926,2144447.1,284.51,50,51,,<0.01,0.01,0.58,189,<0.02,<10,30,0.7,0.5,0.43,0.08,0.95,21.2,263.0,6.75,0.9,0.91,4.22,0.06,<0.02,<0.01,0.007,0.66,0.5,8.9,2.71,240.0,1.62,0.01,0.07,316.0,10,0.5,53.4,<0.001,0.02,0.78,1.1,<0.2,0.6,5.8,<0.01,0.02,<0.2,0.01,0.4,0.21,6,0.41,0.9,18.0,<0.5
