Serial    No,Sample Discription,Unnamed: 2,Interval (m),Unnamed: 4,QA/QC,Au,Ag,Al,As,Au.1,B,Ba,Be,Bi,Ca,Cd,Ce,Co,Cr,Cs,Cu,Fe,Ga,Ge,Hf,Hg,In,K,La,Li,Mg,Mn,Mo,Na,Nb,Ni,P,Pb,Rb,Re,S,Sb,Sc,Se,Sn,Sr,Ta,Te,Th,Ti,Tl,U,V,W,Y,Zn,Zr
,Lab ID,Field ID,From,To,,ppm,ppm,%,ppm,ppm,ppm,ppm,ppm,ppm,%,ppm,ppm,ppm,ppm,ppm,ppm,%,ppm,ppm,ppm,ppm,ppm,%,ppm,ppm,%,ppm,ppm,%,ppm,ppm,ppm,ppm,ppm,ppm,%,ppm,ppm,ppm,ppm,ppm,ppm,ppm,ppm,%,ppm,ppm,ppm,ppm,ppm,ppm,ppm
80.0,P1/D/BH3-1/020,S020,,,BLANK,<0.01,0.02,0.33,0.2,<0.02,<10,40,1.16,0.02,0.56,0.02,127,1.2,9,0.25,8.3,1.66,2.27,0.11,1.78,<0.01,0.005,0.22,79.2,1.5,0.07,152,7.65,0.08,0.46,3.1,150,26.1,20.1,<0.001,0.04,0.06,0.9,<0.2,0.6,50.9,<0.01,<0.01,93.5,0.005,0.09,12.25,4,0.08,4.95,7,47
81.0,P1/D/BH3-1/021,S021,32.9,34.2,,0.01,0.16,0.51,6.1,<0.02,<10,90,0.87,0.09,0.07,0.28,246,3.7,6,0.08,6.9,4.07,4.62,0.24,0.63,0.01,0.108,0.18,136,2.3,0.02,1160,11.95,0.01,1.29,4.6,310,11.7,8.1,0.001,<0.01,0.28,0.9,0.2,2,20.3,0.01,0.01,12.1,0.005,0.08,1.87,6,0.06,16.95,159,27.7
82.0,P1/D/BH3-1/022,S022,34.2,35.2,,<0.01,0.14,0.58,6.1,<0.02,<10,80,1.05,0.07,0.02,0.32,266,1.3,5,0.06,2.4,5.01,6.84,0.25,1.98,0.01,0.154,0.15,136,2.9,0.01,1060,6.1,0.01,2.31,3,40,10.2,6.9,<0.001,<0.01,0.33,0.2,<0.2,3.3,14.7,0.01,0.01,13.4,0.01,0.05,2.32,4,<0.05,21.3,191,83.4
83.0,P1/D/BH3-1/023,S023,35.2,36.2,,0.01,0.18,0.66,1.8,<0.02,<10,50,0.99,0.26,0.04,0.24,369,1.7,7,0.08,28,3.06,6.27,0.32,1.16,0.01,0.12,0.17,195,2.7,0.02,951,5.13,0.01,3.05,2.8,120,18.3,7.7,<0.001,<0.01,0.18,0.4,<0.2,4,12.5,0.01,0.01,12.4,0.012,0.08,1.59,3,0.07,16.45,160,47.9
84.0,P1/D/BH3-1/024,S024,36.2,37.2,,0.01,0.23,0.55,3,<0.02,<10,80,0.96,0.26,0.04,0.28,263,3.2,6,0.09,21.4,3.46,4.11,0.26,0.57,<0.01,0.095,0.16,153,1.4,0.03,1270,5.36,0.01,1.33,4.2,190,11.2,7,<0.001,<0.01,0.25,0.8,<0.2,1.6,15.8,0.01,0.02,15.6,<0.005,0.1,2.05,4,0.05,13.9,221,23.5
85.0,P1/D/BH3-1/025,S025,37.2,40.2,,<0.01,0.04,2.47,4.3,<0.02,<10,130,4.58,0.06,0.47,0.18,55.1,21.1,48,2.03,76.5,5.99,8.24,0.1,0.08,<0.01,0.067,0.33,22.9,4.2,0.65,865,0.89,0.04,<0.05,44.5,700,6.9,28.9,<0.001,<0.01,0.16,24.1,<0.2,0.9,60.4,<0.01,0.01,7.5,0.007,0.23,1.25,122,<0.05,14.4,147,1.7
86.0,P1/D/BH3-1/026,S026,40.2,43.2,,<0.01,0.13,0.57,8.2,<0.02,<10,60,1.78,0.06,0.05,0.3,386,6.6,10,0.19,9.4,5.47,6.92,0.37,1.23,<0.01,0.163,0.17,202,3.3,0.04,1040,4.09,0.01,3.77,8.7,130,6.9,8.6,<0.001,<0.01,0.24,3,<0.2,4,18,0.01,0.01,15.5,0.016,0.06,1.52,13,0.1,24,227,51.6
87.0,P1/D/BH3-1/027,S027,43.2,46.2,,<0.01,0.05,0.76,3.4,<0.02,<10,50,1.19,0.07,0.1,0.28,195,6.9,8,0.6,7.4,4.3,4.93,0.21,0.44,<0.01,0.077,0.24,105.5,2.8,0.11,1050,2.29,0.01,2.11,9.9,260,9.1,19.9,<0.001,<0.01,0.14,2.9,<0.2,3.6,21.2,0.01,0.02,18.4,0.022,0.12,2.5,14,0.09,19.45,165,17.1
88.0,P1/D/BH3-1/028,S028,46.2,49.2,,<0.01,0.1,0.34,1.3,<0.02,<10,40,0.79,0.05,0.02,0.52,342,0.9,6,0.05,1.9,4.6,4.89,0.3,0.96,<0.01,0.151,0.12,177,0.9,0.01,1100,8.17,<0.01,2.45,2.3,90,9.9,5,<0.001,<0.01,0.2,0.2,<0.2,2.6,16.3,0.01,0.01,16.3,0.006,0.04,2.28,2,0.07,14.45,234,40.8
89.0,P1/D/BH3-1/029,S029,49.2,50.2,,<0.01,0.08,0.42,5.1,<0.02,<10,10,0.71,0.07,0.02,0.22,220,0.7,5,0.1,2.3,5.38,4.78,0.17,0.73,<0.01,0.185,0.04,92.2,1.1,0.01,457,7.77,0.01,2.34,2.3,50,8.2,2.3,<0.001,<0.01,0.35,0.2,0.2,2.4,9.2,0.02,0.01,13.8,<0.005,0.04,1.54,1,0.07,8.38,271,31.3
