Sample ID,Au,Ag,As,Bi,Cu,Pb,Sb,Zn
T0363,0.04,0.04,1.3,0.5,36,8.5,0.08,60
T0364,0.05,0.17,16.5,2.67,134.5,9.9,0.24,46
T0365,0.12,0.26,21.6,5.16,183.5,7.8,0.28,40
T0366,1.92,1.26,17.7,86.6,2330,24,0.54,67
T0367,0.05,0.25,14.6,7.81,179,5.4,0.2,16
T0368,0.03,0.13,23.7,3.88,225,3.9,0.18,22
T0369,0.08,0.17,25.8,1.8,498,5.4,0.26,31
T0370,0.01,0.08,3.4,1.3,74.4,4.5,0.13,20
T0371,0.06,0.06,8.9,0.67,53.5,7.9,0.25,39
T0372,0.06,0.07,6.1,0.46,32.3,9.3,0.16,46
T0373,0.02,0.11,9.4,0.64,39.6,5.7,0.25,26
T0374,0.02,0.07,8.1,0.28,48.9,4.8,0.2,19
T0375,0.03,0.06,7.3,0.21,42.2,6.5,0.21,95
T0376,0.02,0.06,8.6,0.27,46.6,6.3,0.16,59
T0377,0.02,0.06,4.4,0.38,108,7,0.19,106
T0378,0.02,0.03,2.9,0.21,151,5.6,0.16,154
T0379,0.02,0.08,21,0.26,92.4,8.8,0.42,155
T0380,0.02,0.11,27.7,0.57,37,17.1,0.74,146
T0381,0.02,0.16,22.2,0.45,19.9,16.3,1.56,73
T0382,0.05,0.25,37.3,0.47,80.9,24,0.63,169
T0383,0.01,0.12,33.1,0.29,42.6,35.1,0.8,190
T0384,0.03,0.34,40.1,0.33,31.9,28,1.41,157
T0385,0.01,0.06,4.9,0.14,8.6,8.8,0.28,131
T0386,0.01,0.04,3,0.11,9.5,13.8,0.15,72
T0387,0.02,0.05,2.7,0.2,9.5,14.2,0.09,39
T0388,0.01,0.04,1.5,0.1,4.2,12.2,0.08,35
T0389,0.02,0.05,2.7,0.13,10.5,12.4,0.08,31
T0390,0.02,0.04,3.1,0.11,10.7,14.8,0.11,47
T0391,0.01,0.04,3.3,0.13,17.9,7.3,0.08,86
T0392,0.01,0.03,3,0.14,19.2,5.5,0.08,73
