Sample ID,Au,Ag,As,Bi,Cu,Pb,Sb,Zn
R0392,0.01,0.08,3.4,0.29,24.1,9.6,0.12,56
R0393,0.2,0.21,14.4,1.2,33.9,15.3,0.18,59
R0394,0.04,0.15,10,0.97,33.5,10.6,0.14,66
R0395,0.01,0.09,3.7,0.53,31.2,12,0.14,94
R0396,<0.01,0.1,3.5,0.97,53.4,17.5,0.14,100
R0397,<0.01,0.09,3.9,0.33,36.6,22.6,0.17,90
R0398,<0.01,0.05,3.3,0.2,54.7,11.1,0.15,80
R0399,<0.01,0.13,11.5,0.29,32.4,19.6,0.13,57
R0400,0.01,0.15,4.5,0.23,15.2,12.4,0.09,63
R0401,0.01,0.07,2.7,0.35,23.1,9.4,0.08,55
R0402,0.01,0.12,9.9,0.19,47.5,5,0.14,58
R0403,0.02,0.23,22.5,1.37,61.3,35,0.13,96
R0404,0.01,0.27,53.9,0.4,43.8,6.6,0.3,71
