ag_ppm,anomaly_id,as_ppm,au_ppm,below_detection,bi_ppm,cu_ppm,easting,interval_m,lab_id,northing,pb_ppm,project_area,sample_id,sample_type,sb_ppm,zn_ppm,,,,,
,An6,,,FALSE,,,,,609,,,Shamkya,Q067,chip,,,,,,,
,An6,,,FALSE,,,,,610,,,Shamkya,Q068,chip,,,,,,,
,An6,,,FALSE,,,,,611,,,Shamkya,Q069,chip,,,,,,,
,An6,,,FALSE,,,,,612,,,Shamkya,Q070,chip,,,,,,,
,An6,,,FALSE,,,,,613,,,Shamkya,Q071,chip,,,,,,,
,An6,,,FALSE,,,,,614,,,Shamkya,Q072,chip,,,,,,,
,An6,,,FALSE,,,,,615,,,Shamkya,Q073,chip,,,,,,,
,An6,,,FALSE,,,,,616,,,Shamkya,Q074,chip,,,,,,,
,An6,,,FALSE,,,,,617,,,Shamkya,Q075,chip,,,,,,,
,An6,,,FALSE,,,,,618,,,Shamkya,Q076,chip,,,,,,,
,An6,,,FALSE,,,,,619,,,Shamkya,Q077,chip,,,,,,,
,An6,,,FALSE,,,,,620,,,Shamkya,Q078,chip,,,,,,,
,An6,,,FALSE,,,,,621,,,Shamkya,Q079,chip,,,,,,,
,An6,,,FALSE,,,,,622,,,Shamkya,Q080,chip,,,,,,,
,An6,,,FALSE,,,,,623,,,Shamkya,Q081,chip,,,,,,,
,An6,,,FALSE,,,,,624,,,Shamkya,Q082,chip,,,,,,,
,An6,,,FALSE,,,,,625,,,Shamkya,Q083,chip,,,,,,,
,An6,,,FALSE,,,,,626,,,Shamkya,Q084,chip,,,,,,,
,An6,,,FALSE,,,,,627,,,Shamkya,Q085,chip,,,,,,,
,An6,,,FALSE,,,,,628,,,Shamkya,Q086,chip,,,,,,,
,An6,,,FALSE,,,,,629,,,Shamkya,Q087,chip,,,,,,,
,An6,,,FALSE,,,,,630,,,Shamkya,Q088,chip,,,,,,,
,An6,,,FALSE,,,,,631,,,Shamkya,Q089,chip,,,,,,,
,An6,,,FALSE,,,,,632,,,Shamkya,Q090,chip,,,,,,,
,An6,,,FALSE,,,,,633,,,Shamkya,Q091,chip,,,,,,,
,An6,,,FALSE,,,,,634,,,Shamkya,Q092,chip,,,,,,,
,An6,,,FALSE,,,,,635,,,Shamkya,Q093,chip,,,,,,,
,An6,,,FALSE,,,,,636,,,Shamkya,Q094,chip,,,,,,,
,An6,,,FALSE,,,,,637,,,Shamkya,Q095,chip,,,,,,,
,An6,,,FALSE,,,,,638,,,Shamkya,Q096,chip,,,,,,,
,An6,,,FALSE,,,,,639,,,Shamkya,Q097,chip,,,,,,,
